,acc_numbers
0,ON686266.1
1,OL912129.1
2,OM768296.1
3,OP914243.2
4,OP227933.1
5,MW592895.1
6,MZ025887.1
7,OL714478.1
8,ON739764.1
9,MT810676.1
10,OM330756.1
11,OM795169.1
12,OM680650.1
13,OQ140826.1
14,OP234634.2
15,ON942188.1
16,OM338184.1
17,MZ025411.1
18,ON619377.1
19,OM524973.1
20,OM044030.1
21,OQ583209.1
22,OP171548.1
23,OM020071.1
24,OL751018.1
25,OQ346024.1
26,OQ072009.1
27,OP790051.1
28,ON612466.1
29,ON499083.1
30,OP523512.1
31,OM040646.1
32,OM803286.1
33,MZ217460.1
34,OL878096.1
35,OP282197.1
36,PQ147539.1
37,OL775951.1
38,ON695584.1
39,ON032805.1
40,OM222130.1
41,OM466316.1
42,OL726574.1
43,OQ534723.1
44,ON091747.1
45,ON789669.1
46,ON113781.1
47,PP087668.1
48,OM018837.1
49,OQ138997.1
50,OL754032.1
51,ON821255.1
52,PP473171.1
53,OM006312.1
54,MZ076245.1
55,OP694000.1
56,OL993743.1
57,OL838701.1
58,MW975544.1
59,OL959684.1
60,OP450721.1
61,ON511458.2
62,OM879373.1
63,ON661388.1
64,OM650910.1
65,OM408150.1
66,MW993822.1
67,OM767765.1
68,OL994171.1
69,MZ348340.1
70,ON847268.1
71,OR952154.1
72,PP299987.1
73,ON914124.1
74,OR321324.1
75,OP239476.1
76,ON625598.1
77,OP369020.1
78,ON893584.1
79,OM638911.1
80,OQ430928.1
81,OM198013.1
82,OM515843.1
83,OL471450.1
84,MZ491704.1
85,MZ163299.1
86,OM245243.1
87,MZ149849.1
88,OM353822.1
89,PP208485.1
90,OP571624.1
91,OM322669.1
92,ON966372.1
93,OP625331.1
94,OP848729.1
95,OL860044.1
96,OR955725.1
97,OP925702.1
98,OR971284.1
99,MW964467.1
100,OM942136.1
101,MZ240383.1
102,MZ083210.1
103,OP864917.1
104,ON189209.1
105,OM332268.1
106,OM433443.1
107,ON760563.1
108,MZ432927.1
109,MW938196.1
110,ON348468.1
111,ON056831.1
112,OR309955.1
113,PV201904.1
114,ON744655.1
115,OL714685.1
116,MW888016.1
117,OM290213.1
118,OM258436.1
119,OP518758.1
120,OM041012.1
121,ON343802.1
122,ON899496.1
123,ON347686.1
124,MW197487.1
125,PQ147537.1
126,OQ151311.1
127,MW865006.1
128,OL886259.1
129,OP336413.1
130,OP570108.1
131,OP768956.1
132,OL760079.1
133,PP616327.1
134,ON193172.1
135,OP416832.1
136,PP207664.1
137,OM542549.1
138,ON216133.1
139,OL724679.1
140,PP153013.1
141,MZ319004.1
142,OP046957.2
143,PP221982.1
144,ON169625.1
145,OP519556.1
146,OM782821.1
147,OM048079.1
148,ON941046.1
149,OP714851.1
150,PV266061.1
151,PP224603.1
152,OM979102.1
153,OM094426.1
154,OP031870.1
155,OP789141.1
156,OM146946.1
157,OQ238309.1
158,OL906737.1
159,OP199705.1
160,OP063384.1
161,OM020999.1
162,OM682330.1
163,OR299916.1
164,OM413666.1
165,OL967386.1
166,OP126419.1
167,PP466627.1
168,OM742812.1
169,MZ486458.1
170,OM031750.1
171,ON415099.1
172,PQ965825.1
173,PP207465.1
174,OM015394.1
175,OQ681540.1
176,OM301439.1
177,PP205484.1
178,OP177639.1
179,ON253783.1
180,OQ254015.1
181,MZ294908.1
182,OP553749.1
183,OM091116.1
184,MZ056251.1
185,MW702229.1
186,ON744860.1
187,OM653086.1
188,MZ498227.1
189,OR055948.1
190,ON464952.1
191,MW728367.1
192,MZ296605.1
193,MZ638502.1
194,PP758892.1
195,ON464427.1
196,OM954458.1
197,PP127048.1
198,ON082371.1
199,OP122856.1
200,PQ207669.1
201,OP827473.1
202,OM776143.1
203,ON068773.1
204,ON597135.1
205,OM528447.1
206,MW197496.1
207,ON570908.1
208,ON694636.1
209,OP936455.2
210,OP438634.1
211,OQ114687.1
212,OL720498.1
213,OQ033168.1
214,ON718947.1
215,OP797373.1
216,OP024757.1
217,ON467660.1
218,OP149100.1
219,OP140160.1
220,OP396233.1
221,OM686716.1
222,MZ213240.1
223,OP024855.1
224,OL881837.1
225,OM562882.1
226,OL715693.1
227,MZ518204.1
228,MZ186769.1
229,ON333232.1
230,OM653437.1
231,PP143823.1
232,OM349393.1
233,ON232896.1
234,OM199211.1
235,MZ714808.1
236,ON528490.1
237,ON535973.1
238,MZ228938.1
239,ON490064.1
240,PQ198195.1
241,OR402476.1
242,OM260468.1
243,OL719470.1
244,MZ685405.1
245,MZ281082.1
246,OP722273.1
247,ON977947.1
248,MZ000213.1
249,OL923760.1
250,MW715166.1
251,OM214185.1
252,MZ059479.1
253,MW966847.1
254,OP658180.1
255,MW704569.1
256,PV473248.1
257,OM685906.1
258,OM098816.1
259,ON739502.1
260,ON885117.1
261,ON344934.1
262,PQ393204.1
263,MW976242.1
264,ON744243.1
265,OQ049991.1
266,ON340437.1
267,ON944649.1
268,ON861730.1
269,OP657296.1
270,MW864870.1
271,OP337564.1
272,OQ546690.1
273,OP567707.1
274,OL794803.1
275,OP591708.2
276,OP143315.1
277,OP483314.1
278,MZ059043.1
279,OM527943.1
280,OP542758.1
281,OL760126.1
282,ON079400.1
283,OM668356.1
284,ON852621.1
285,OM054882.1
286,MW849082.1
287,ON031001.1
288,PP959087.1
289,OP016209.1
290,OM297448.1
291,ON897110.1
292,OP229585.1
293,OL959637.1
294,OM664983.1
295,MW701184.1
296,OQ115011.1
297,OM214165.1
298,MW521633.1
299,OM775295.1
300,OM776502.1
